journal,year,volume,issue,type,title,doi
Journal of Experimental Political Science,2019,6,3,"Front Cover (OFC, IFC) and matter",XPS volume 6 issue 3 Cover and Front matter,10.1017/XPS.2019.31
Journal of Experimental Political Science,2019,6,3,"Back Cover (IBC, OBC) and matter",XPS volume 6 issue 3 Cover and Back matter,10.1017/XPS.2019.32
Journal of Experimental Political Science,2019,6,2,Research Article,Are There Long-Term Effects of the Vietnam Draft on Political Attitudes or Behavior? Apparently Not,10.1017/XPS.2018.18
Journal of Experimental Political Science,2019,6,2,Research Article,Calling Mogadishu: How Reminders of Anarchy Bias Survey Participation,10.1017/XPS.2018.20
Journal of Experimental Political Science,2019,6,2,Research Article,Service Representation in a Federal System: A Field Experiment,10.1017/XPS.2018.21
Journal of Experimental Political Science,2019,6,2,Research Article,Think Ahead: Cost Discounting and External Validity in Foreign Policy Survey Experiments,10.1017/XPS.2018.22
Journal of Experimental Political Science,2019,6,2,Research Article,Violence Exposure and Support for State Use of Force in a Non-Democracy,10.1017/XPS.2018.26
Journal of Experimental Political Science,2019,6,2,Research Article,Language Heightens the Political Salience of Ethnic Divisions,10.1017/XPS.2018.27
Journal of Experimental Political Science,2019,6,2,"Front Cover (OFC, IFC) and matter",XPS volume 6 issue 2 Cover and Front matter,10.1017/XPS.2019.5
Journal of Experimental Political Science,2019,6,2,"Back Cover (IBC, OBC) and matter",XPS volume 6 issue 2 Cover and Back matter,10.1017/XPS.2019.6
Journal of Experimental Political Science,2019,6,1,Short Report,Avoiding Post-Treatment Bias in Audit Experiments,10.1017/XPS.2018.9
Journal of Experimental Political Science,2019,6,1,Research Article,Misinformation and the Justification of Socially Undesirable Preferences,10.1017/XPS.2018.12
Journal of Experimental Political Science,2019,6,1,Research Article,"Weather, Risk, and Voting: An Experimental Analysis of the Effect of Weather on Vote Choice",10.1017/XPS.2018.13
Journal of Experimental Political Science,2019,6,1,Research Article,Commitment to Political Ideology is a Luxury Only Students Can Afford: A Distributive Justice Experiment,10.1017/XPS.2018.14
Journal of Experimental Political Science,2019,6,1,Research Article,Does Shared Social Disadvantage Cause Black–Latino Political Commonality?,10.1017/XPS.2018.15
Journal of Experimental Political Science,2019,6,1,Research Article,Alliance Formation in a Side-Taking Experiment,10.1017/XPS.2018.19
Journal of Experimental Political Science,2019,6,1,"Front Cover (OFC, IFC) and matter",XPS volume 6 issue 1 Cover and Front matter,10.1017/XPS.2019.3
Journal of Experimental Political Science,2019,6,1,"Back Cover (IBC, OBC) and matter",XPS volume 6 issue 1 Cover and Back matter,10.1017/XPS.2019.4
Journal of Experimental Political Science,2018,5,3,Editor's Note,The Value of Preregistration for Open and Credible Science: An Initiative from the Journal of Experimental Political Science,10.1017/XPS.2018.25
Journal of Experimental Political Science,2018,5,3,Research Article,Threat and Information Acquisition: Evidence from an Eight Country Study,10.1017/XPS.2018.4
Journal of Experimental Political Science,2018,5,3,Research Article,Do Gender Quotas Really Reduce Bias? Evidence from a Policy Experiment in Southern Africa,10.1017/XPS.2018.8
Journal of Experimental Political Science,2018,5,3,Research Article,Do People Contrast and Assimilate Candidate Ideology? An Experimental Test of the Projection Hypothesis,10.1017/XPS.2018.6
Journal of Experimental Political Science,2018,5,3,Research Article,Does Inequality Beget Inequality? Experimental Tests of the Prediction that Inequality Increases System Justification Motivation,10.1017/XPS.2018.2
Journal of Experimental Political Science,2018,5,3,Research Article,Pay Rates and Subject Performance in Social Science Experiments Using Crowdsourced Online Samples,10.1017/XPS.2018.7
Journal of Experimental Political Science,2018,5,3,Short Report,How to Survey About Electoral Turnout? Additional Evidence,10.1017/XPS.2018.1
Journal of Experimental Political Science,2018,5,3,"Front Cover (OFC, IFC) and matter",XPS volume 5 issue 3 Cover and Front matter,10.1017/XPS.2018.23
Journal of Experimental Political Science,2018,5,3,"Back Cover (IBC, OBC) and matter",XPS volume 5 issue 3 Cover and Back matter,10.1017/XPS.2018.24
Journal of Experimental Political Science,2018,5,2,Research Article,Preferences for Domestic Action Over International Transfers in Global Climate Policy,10.1017/XPS.2017.34
Journal of Experimental Political Science,2018,5,2,Research Article,"More Talk, Less Need for Monitoring: Communication and Deterrence in a Public Good Game",10.1017/XPS.2017.33
Journal of Experimental Political Science,2018,5,2,Research Article,Bridging the Partisan Divide on Immigration Policy Attitudes through a Bipartisan Issue Area: The Case of Human Trafficking,10.1017/XPS.2018.3
Journal of Experimental Political Science,2018,5,2,Research Article,Partisan Affiliation and the Evaluation of Non-Prototypical Candidates,10.1017/XPS.2017.35
Journal of Experimental Political Science,2018,5,2,Research Article,Diverse Pre-Treatment Effects in Survey Experiments,10.1017/XPS.2017.29
Journal of Experimental Political Science,2018,5,2,Short Report,"Sex Trafficking, Russian Infiltration, Birth Certificates, and Pedophilia: A Survey Experiment Correcting Fake News",10.1017/XPS.2017.32
Journal of Experimental Political Science,2018,5,2,"Front Cover (OFC, IFC) and matter",XPS volume 5 issue 2 Cover and Front matter,10.1017/XPS.2018.16
Journal of Experimental Political Science,2018,5,2,"Back Cover (IBC, OBC) and matter",XPS volume 5 issue 2 Cover and Back matter,10.1017/XPS.2018.17
Journal of Experimental Political Science,2018,5,1,Editor's Note,Introducing the New Editorial Team at the Journal of Experimental Political Science,10.1017/XPS.2017.27
Journal of Experimental Political Science,2018,5,1,Research Article,Football and Public Opinion: A Partial Replication and Extension,10.1017/XPS.2017.22
Journal of Experimental Political Science,2018,5,1,Research Article,"Institutions, Norms, and Accountability: A Corruption Experiment with Northern and Southern Italians",10.1017/XPS.2017.26
Journal of Experimental Political Science,2018,5,1,Research Article,The Effect of Segregation on Intergroup Relations,10.1017/XPS.2017.28
Journal of Experimental Political Science,2018,5,1,Research Article,Gender Differences in Political Knowledge: Bringing Situation Back In,10.1017/XPS.2017.21
Journal of Experimental Political Science,2018,5,1,Research Article,Investigator Characteristics and Respondent Behavior in Online Surveys,10.1017/XPS.2017.25
Journal of Experimental Political Science,2018,5,1,Research Article,Are Donations to Charity an Effective Incentive for Public Officials?,10.1017/XPS.2017.20
Journal of Experimental Political Science,2018,5,1,Corrigendum,Football and Public Opinion: A Partial Replication and Extension – CORRIGENDUM,10.1017/XPS.2018.5
Journal of Experimental Political Science,2018,5,1,"Front Cover (OFC, IFC) and matter",XPS volume 5 issue 1 Cover and Front matter,10.1017/XPS.2018.10
Journal of Experimental Political Science,2018,5,1,"Back Cover (IBC, OBC) and matter",XPS volume 5 issue 1 Cover and Back matter,10.1017/XPS.2018.11
Journal of Experimental Political Science,2017,4,3,Research Article,"Ethnoreligious Identity, Immigration, and Redistribution",10.1017/XPS.2017.13
Journal of Experimental Political Science,2017,4,3,Research Article,Just Don’t Call it a Tax! Framing in an Experiment on Voting and Redistribution,10.1017/XPS.2016.7
Journal of Experimental Political Science,2017,4,3,Research Article,Individual Preferences for FDI in Developing Countries: Experimental Evidence from China,10.1017/XPS.2017.15
Journal of Experimental Political Science,2017,4,3,Research Article,Who Cooperates? Reciprocity and the Causal Effect of Expected Cooperation in Representative Samples,10.1017/XPS.2017.16
Journal of Experimental Political Science,2017,4,3,Research Article,Looks and Sounds Like a Winner: Perceptions of Competence in Candidates’ Faces and Voices Influences Vote Choice,10.1017/XPS.2017.19
Journal of Experimental Political Science,2017,4,3,Research Article,How Responsive are Political Elites? A Meta-Analysis of Experiments on Public Officials*,10.1017/XPS.2017.14
Journal of Experimental Political Science,2017,4,3,"Front Cover (OFC, IFC) and matter",XPS volume 4 issue 3 Cover and Front matter,10.1017/XPS.2017.30
Journal of Experimental Political Science,2017,4,3,"Back Cover (IBC, OBC) and matter",XPS volume 4 issue 3 Cover and Back matter,10.1017/XPS.2017.31
